head,data_type,chick_keith_ent,jordan_ent,unmusical_ent,correct_order,diff_between_jordan_unmusical
0,dur,0.986,0.988,0.978,False,-0.01
0,pitch,0.984,0.984,0.965,False,-0.019
0,time,0.901,0.905,0.903,False,-0.002
1,dur,0.989,0.988,0.983,False,-0.004
1,pitch,0.918,0.912,0.879,False,-0.033
1,time,0.967,0.968,0.953,False,-0.015
2,dur,0.998,0.998,0.995,False,-0.003
2,pitch,0.998,0.998,0.996,False,-0.002
2,time,0.99,0.991,0.988,False,-0.003
3,dur,0.867,0.858,0.886,True,0.028
3,pitch,0.859,0.852,0.879,True,0.027
3,time,0.979,0.982,0.97,False,-0.012
4,dur,0.936,0.93,0.937,True,0.007
4,pitch,0.902,0.894,0.919,True,0.024
4,time,0.962,0.963,0.965,False,0.002
5,dur,0.99,0.991,0.985,False,-0.006
5,pitch,0.936,0.912,0.923,False,0.011
5,time,0.969,0.961,0.97,True,0.009
6,dur,0.93,0.928,0.901,False,-0.027
6,pitch,0.919,0.923,0.931,False,0.008
6,time,0.907,0.906,0.931,True,0.025
7,dur,0.966,0.972,0.945,False,-0.027
7,pitch,0.981,0.981,0.974,False,-0.007
7,time,0.954,0.954,0.941,False,-0.013
8,dur,0.937,0.937,0.925,False,-0.012
8,pitch,0.952,0.951,0.942,False,-0.01
8,time,0.956,0.957,0.966,False,0.009
9,dur,0.864,0.854,0.871,True,0.017
9,pitch,0.86,0.863,0.881,False,0.018
9,time,0.963,0.964,0.964,False,-0.0
10,dur,0.991,0.991,0.983,False,-0.008
10,pitch,0.982,0.98,0.975,False,-0.005
10,time,0.893,0.884,0.932,True,0.048
11,dur,0.933,0.939,0.936,False,-0.004
11,pitch,0.962,0.965,0.96,False,-0.005
11,time,0.956,0.957,0.962,False,0.005
12,dur,0.99,0.99,0.99,False,-0.0
12,pitch,0.997,0.997,0.996,False,-0.001
12,time,0.983,0.985,0.977,False,-0.008
13,dur,0.973,0.976,0.969,False,-0.007
13,pitch,0.923,0.928,0.907,False,-0.02
13,time,0.956,0.967,0.968,False,0.001
14,dur,0.971,0.968,0.966,False,-0.002
14,pitch,0.937,0.949,0.926,False,-0.023
14,time,0.975,0.977,0.977,False,-0.0
15,dur,0.941,0.94,0.944,True,0.005
15,pitch,0.923,0.926,0.884,False,-0.042
15,time,0.896,0.893,0.927,True,0.034
