prompt,artist,avg_window_entropy
ask_me_now,chick,4.328931365
blue_monk,chick,4.329649329
brazil,chick,3.855139954
but_beautiful,chick,5.224581562
dusk_in_sandi,chick,5.055794168
how_deep_is_the_ocean,chick,4.769824938
it_could_happen_to_you,chick,4.809749314
monks_dream,chick,4.877907356
oblivion,chick,4.641240628
round_midnight,chick,4.347802002
answer_me,keith,5.502844265
part_i_royal_festival_hall,keith,4.879395586
part_ii_royal_festival_hall,keith,4.142324344
part_iii_royal_festival_hall,keith,4.837899372
part_iv_royal_festival_hall,keith,5.308357076
part_i_salle_pleyel,keith,5.058020755
part_ii_salle_pleyel,keith,4.739718567
part_iii_salle_pleyel,keith,4.598663641
part_vii,keith,5.287862841
part_viii,keith,3.267735833
jordan0,jordan,4.909994562
jordan1,jordan,4.989731015
jordan2,jordan,4.584571512
jordan3,jordan,4.682392977
jordan4,jordan,4.294154105
jordan5,jordan,4.781812222
jordan6,jordan,5.449612748
jordan7,jordan,4.911461021
jordan8,jordan,4.854068574
jordan9,jordan,4.016224977
extreme_register_0,unmusical,5.531727828
extreme_register_1,unmusical,5.635014573
random_0,unmusical,4.321447355
random_1,unmusical,4.273300977
single_note_0,unmusical,4.781456076
single_note_1,unmusical,4.158954916
smash_0,unmusical,5.807290766
smash_1,unmusical,5.726779647
two_note_0,unmusical,4.908971026
two_note_1,unmusical,4.940115051
