prompt,data_type,head,artist,avg_window_entropy,min_window_entropy,max_window_entropy
ask_me_now,time,10,chick,4.24532118,4.055643419,4.376739273
blue_monk,time,10,chick,4.340295486,4.267096882,4.574704348
brazil,time,10,chick,4.209741855,4.151185173,4.483380071
but_beautiful,time,10,chick,4.3651359,4.261124666,4.547260685
dusk_in_sandi,time,10,chick,4.356472273,4.194091922,4.724120278
how_deep_is_the_ocean,time,10,chick,4.267874139,4.033221429,4.327383763
it_could_happen_to_you,time,10,chick,3.832550591,3.71808228,3.974668378
monks_dream,time,10,chick,4.235130973,4.199500996,4.339184014
oblivion,time,10,chick,4.45010678,4.436435339,4.473405179
round_midnight,time,10,chick,4.212258214,4.095879929,4.548066625
answer_me,time,10,keith,4.331179314,4.030362603,4.385000879
pt_i_royal,time,10,keith,4.462517254,4.362934622,4.723208664
pt_ii_royal,time,10,keith,4.045889048,3.93948848,4.184742384
pt_iii_royal,time,10,keith,4.077114112,3.984544001,4.200061275
pt_iv_royal,time,10,keith,4.49872235,4.433663744,4.670740827
pt_i_salle,time,10,keith,4.211118671,4.11818016,4.40009181
pt_ii_salle,time,10,keith,4.099220224,4.024699056,4.259246745
pt_iii_salle,time,10,keith,4.329295803,4.228558006,4.406637191
part_vii,time,10,keith,4.446700884,4.341166981,4.618473795
part_viii,time,10,keith,4.211113876,4.092839572,4.494651229
jordan_trading_0,time,10,jordan,4.276814889,4.141483343,4.500650583
jordan_trading_1,time,10,jordan,4.17571192,4.085082508,4.314669493
jordan_trading_2,time,10,jordan,4.016951729,3.81725695,4.120631197
jordan_trading_3,time,10,jordan,4.052814995,3.854429611,4.123067594
jordan_trading_4,time,10,jordan,4.110275244,3.941443327,4.22371284
jordan_trading_5,time,10,jordan,4.179077116,4.084585748,4.353905522
jordan_trading_6,time,10,jordan,4.310109179,4.228940634,4.745660627
jordan_trading_7,time,10,jordan,3.943713556,3.657533501,4.250327456
jordan_trading_9,time,10,jordan,4.313453449,4.273180164,4.451760798
jordan_trading_11,time,10,jordan,4.214233306,4.028457934,4.342901853
jordan_trading_12,time,10,jordan,4.326379299,4.263447092,4.407845492
jordan_trading_13,time,10,jordan,4.270331723,4.231764148,4.37448041
jordan_trading_14,time,10,jordan,4.217031298,3.938547499,4.328872325
single_note_0,time,10,unmusical,4.327284222,4.277862695,4.46448195
single_note_1,time,10,unmusical,4.677790951,4.608471311,4.712325091
smash_0,time,10,unmusical,4.52742978,4.492374016,4.569004535
smash_1,time,10,unmusical,4.350389399,4.302040719,4.571872922
smash_2,time,10,unmusical,4.559857902,4.440301804,4.615766571
smash_3,time,10,unmusical,4.410533277,4.344357974,4.573434627
smash_4,time,10,unmusical,4.533536019,4.471141913,4.57361393
smash_5,time,10,unmusical,4.503509344,4.422631806,4.552252191
smash_6,time,10,unmusical,4.498017543,4.446121215,4.726147833
two_note_0,time,10,unmusical,4.431619318,4.397910963,4.587124482
ask_me_now,pitch,3,chick,4.04161483,3.896415713,4.102609573
blue_monk,pitch,3,chick,4.074631171,3.951686955,4.119730591
brazil,pitch,3,chick,4.060936297,4.019347925,4.113891683
but_beautiful,pitch,3,chick,4.063005268,4.030907094,4.119889272
dusk_in_sandi,pitch,3,chick,4.012763629,3.971925259,4.126900911
how_deep_is_the_ocean,pitch,3,chick,4.089421892,4.059287659,4.130229489
it_could_happen_to_you,pitch,3,chick,4.067610549,4.016196772,4.086504156
monks_dream,pitch,3,chick,4.150988653,4.104025544,4.216898556
oblivion,pitch,3,chick,4.091043535,3.988269989,4.181393832
round_midnight,pitch,3,chick,4.183719542,4.129046958,4.372188723
answer_me,pitch,3,keith,4.088048954,4.036776898,4.162434498
pt_i_royal,pitch,3,keith,4.101765458,4.040750709,4.238715597
pt_ii_royal,pitch,3,keith,4.151764315,4.106352591,4.471365923
pt_iii_royal,pitch,3,keith,4.059975241,4.022216901,4.103069198
pt_iv_royal,pitch,3,keith,4.118349865,4.064050116,4.255666557
pt_i_salle,pitch,3,keith,4.017196347,3.979415319,4.131596461
pt_ii_salle,pitch,3,keith,4.053543613,3.859882193,4.175491328
pt_iii_salle,pitch,3,keith,4.217879184,4.101327844,4.260219904
part_vii,pitch,3,keith,4.271852173,4.243452085,4.347134003
part_viii,pitch,3,keith,4.223326662,4.18167087,4.278519908
jordan_trading_0,pitch,3,jordan,4.191064017,3.978355,4.229870636
jordan_trading_1,pitch,3,jordan,4.158099311,4.087835039,4.195059148
jordan_trading_2,pitch,3,jordan,4.027777876,3.958281031,4.048900275
jordan_trading_3,pitch,3,jordan,4.073584262,4.021311831,4.222157242
jordan_trading_4,pitch,3,jordan,3.923269728,3.837664654,3.969750644
jordan_trading_5,pitch,3,jordan,4.070260804,4.006054565,4.113370868
jordan_trading_6,pitch,3,jordan,3.999690581,3.938204486,4.261533297
jordan_trading_7,pitch,3,jordan,4.14842868,4.106121756,4.246220168
jordan_trading_9,pitch,3,jordan,4.045910025,4.020432234,4.14137934
jordan_trading_11,pitch,3,jordan,4.046870432,3.80170293,4.099297053
jordan_trading_12,pitch,3,jordan,4.141905939,4.111608361,4.168612327
jordan_trading_13,pitch,3,jordan,3.97825588,3.942388059,4.061055354
jordan_trading_14,pitch,3,jordan,4.143873566,4.023000033,4.168309989
single_note_0,pitch,3,unmusical,4.218529902,4.140277172,4.412868208
single_note_1,pitch,3,unmusical,4.430900796,4.175660847,4.528849954
smash_0,pitch,3,unmusical,4.257521081,4.23945757,4.279337852
smash_1,pitch,3,unmusical,4.164498788,4.11220188,4.309134061
smash_2,pitch,3,unmusical,4.17141375,4.08193649,4.261385742
smash_3,pitch,3,unmusical,4.201538286,4.092663019,4.621377888
smash_4,pitch,3,unmusical,4.247428944,4.182380648,4.263490264
smash_5,pitch,3,unmusical,4.246251901,4.14957098,4.408632023
smash_6,pitch,3,unmusical,4.250421611,4.100134667,4.329483526
two_note_0,pitch,3,unmusical,4.13792526,4.114300364,4.220763284
ask_me_now,dur,9,chick,3.901805919,3.760539776,4.036798134
blue_monk,dur,9,chick,4.17927633,4.110575152,4.363058313
brazil,dur,9,chick,3.877379816,3.832592846,3.962547379
but_beautiful,dur,9,chick,4.300818188,4.123230223,4.42639052
dusk_in_sandi,dur,9,chick,4.257210684,4.097954533,4.465925402
how_deep_is_the_ocean,dur,9,chick,4.176755936,4.121062814,4.374730072
it_could_happen_to_you,dur,9,chick,4.093218353,3.974845032,4.176626409
monks_dream,dur,9,chick,4.24140881,4.162912973,4.453898185
oblivion,dur,9,chick,4.19292031,4.133448758,4.39256815
round_midnight,dur,9,chick,4.079545628,4.002083843,4.136799825
answer_me,dur,9,keith,4.239801121,4.213099251,4.357566901
pt_i_royal,dur,9,keith,4.334987909,3.448339309,4.415113307
pt_ii_royal,dur,9,keith,3.812183524,3.7908253,3.871932209
pt_iii_royal,dur,9,keith,4.080126415,3.94659091,4.192292589
pt_iv_royal,dur,9,keith,4.330736431,4.236253227,4.408594512
pt_i_salle,dur,9,keith,4.325752806,4.171972901,4.483383969
pt_ii_salle,dur,9,keith,4.106832775,4.003683337,4.250284934
pt_iii_salle,dur,9,keith,4.137238365,4.068806638,4.20927328
part_vii,dur,9,keith,4.226598641,4.152398825,4.305402028
part_viii,dur,9,keith,4.106419688,4.048474673,4.183091538
jordan_trading_0,dur,9,jordan,4.084935304,3.984615617,4.13013673
jordan_trading_1,dur,9,jordan,4.098898686,4.053081732,4.145658154
jordan_trading_2,dur,9,jordan,3.847102011,3.796628966,3.972851938
jordan_trading_3,dur,9,jordan,4.1676515,4.077268965,4.354432242
jordan_trading_4,dur,9,jordan,3.834171966,3.630845686,3.965548899
jordan_trading_5,dur,9,jordan,4.139356928,4.064519212,4.246984578
jordan_trading_6,dur,9,jordan,4.281682046,4.194426193,4.419629706
jordan_trading_7,dur,9,jordan,4.069036293,4.010705509,4.192153834
jordan_trading_9,dur,9,jordan,4.223291192,4.11371648,4.326931471
jordan_trading_11,dur,9,jordan,4.080253911,4.020633213,4.174486319
jordan_trading_12,dur,9,jordan,4.056945899,3.91646471,4.141500729
jordan_trading_13,dur,9,jordan,4.249277724,4.168343717,4.42814203
jordan_trading_14,dur,9,jordan,3.931476619,3.824230076,4.025653461
single_note_0,dur,9,unmusical,4.220290085,4.041405439,4.520662144
single_note_1,dur,9,unmusical,4.320020929,4.272841145,4.440261078
smash_0,dur,9,unmusical,4.191593717,4.110847832,4.297234632
smash_1,dur,9,unmusical,4.136013836,4.03205737,4.659546854
smash_2,dur,9,unmusical,4.285187542,4.045828887,4.565256715
smash_3,dur,9,unmusical,4.240613564,4.044235416,4.517158139
smash_4,dur,9,unmusical,4.109740293,3.882125175,4.698835716
smash_5,dur,9,unmusical,4.235481604,4.042457796,4.464617413
smash_6,dur,9,unmusical,4.431378903,4.235269287,4.516025961
two_note_0,dur,9,unmusical,4.235609668,4.027281515,4.435371765
