head,data_type,jordan_avg,chick_keith_avg,unmusical_avg,correct_order,separation,chick_keith_position_0_to_1
10,time,4.185,4.261,4.482,True,0.297,0.257
3,dur,4.137,4.164,4.316,True,0.179,0.15
3,pitch,4.073,4.107,4.233,True,0.16,0.213
9,dur,4.082,4.15,4.241,True,0.159,0.43
15,time,4.298,4.352,4.451,True,0.153,0.35
9,pitch,4.13,4.143,4.257,True,0.127,0.099
0,time,4.28,4.295,4.349,True,0.069,0.22
4,dur,4.45,4.459,4.504,True,0.054,0.162
5,time,4.599,4.647,4.649,True,0.051,0.956
8,time,4.585,4.596,4.628,True,0.044,0.251
11,time,4.554,4.56,4.594,True,0.041,0.161
15,dur,4.485,4.491,4.51,True,0.025,0.217
12,dur,4.728,4.731,4.735,True,0.007,0.409
6,time,4.362,4.361,4.497,False,0.135,-0.011
5,pitch,4.345,4.467,4.422,False,0.076,1.604
6,pitch,4.4,4.38,4.455,False,0.055,-0.364
4,pitch,4.3,4.278,4.353,False,0.053,-0.412
11,dur,4.46,4.451,4.473,False,0.014,-0.595
14,dur,4.617,4.642,4.63,False,0.013,1.959
14,time,4.666,4.655,4.677,False,0.011,-1.003
9,time,4.565,4.54,4.573,False,0.008,-3.177
13,time,4.635,4.587,4.64,False,0.004,-11.215
4,time,4.616,4.618,4.613,False,-0.004,-0.591
12,pitch,4.765,4.766,4.76,False,-0.005,-0.089
2,time,4.734,4.732,4.725,False,-0.009,0.285
11,pitch,4.602,4.598,4.593,False,-0.009,0.439
10,pitch,4.677,4.697,4.667,False,-0.01,-2.106
2,pitch,4.77,4.769,4.757,False,-0.013,0.046
2,dur,4.768,4.767,4.754,False,-0.015,0.099
10,dur,4.714,4.721,4.697,False,-0.017,-0.406
13,dur,4.653,4.643,4.636,False,-0.017,0.64
5,dur,4.729,4.73,4.71,False,-0.019,-0.024
3,time,4.671,4.648,4.637,False,-0.034,0.679
12,time,4.705,4.689,4.667,False,-0.037,0.438
7,pitch,4.685,4.678,4.647,False,-0.038,0.181
1,dur,4.717,4.73,4.675,False,-0.042,-0.314
7,time,4.526,4.545,4.475,False,-0.051,-0.374
0,dur,4.709,4.703,4.655,False,-0.054,0.113
8,pitch,4.531,4.535,4.477,False,-0.054,-0.085
1,time,4.613,4.606,4.554,False,-0.059,0.114
13,pitch,4.406,4.407,4.337,False,-0.069,-0.027
8,dur,4.476,4.464,4.404,False,-0.072,0.164
0,pitch,4.69,4.688,4.586,False,-0.104,0.018
14,pitch,4.542,4.477,4.425,False,-0.118,0.555
7,dur,4.629,4.598,4.484,False,-0.145,0.209
6,dur,4.431,4.442,4.276,False,-0.155,-0.068
15,pitch,4.396,4.392,4.192,False,-0.205,0.02
1,pitch,4.353,4.374,4.135,False,-0.218,-0.096
